Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2006-01-22,,33.0,24.0,0.0,0.0,1.0
2006-01-29,,46.0,36.0,0.0,0.0,0.0
2006-02-05,,33.0,9.0,0.0,0.0,0.0
2006-02-12,,28.0,15.0,0.0,0.1,0.0
2006-02-19,,23.0,-2.0,0.0,0.0,1.0
2006-02-26,,45.0,14.0,0.0,0.0,0.0
2006-03-05,,44.0,30.0,0.23,0.0,0.0
2006-03-12,,44.0,32.0,0.25,0.0,0.0
2006-03-19,,45.0,31.0,0.0,0.0,0.0
2006-03-26,,55.0,29.0,0.0,0.0,0.0
2006-04-02,,63.0,42.0,0.75,0.0,0.0
2006-04-09,,64.0,33.0,0.0,0.0,0.0
2006-04-16,,68.0,52.0,0.15,0.0,0.0
2006-04-23,,74.0,44.0,0.0,0.0,0.0
2006-04-30,,57.0,52.0,1.02,0.0,0.0
2006-05-07,,70.0,42.0,0.0,0.0,0.0
2006-05-14,,60.0,44.0,0.01,0.0,0.0
2006-05-21,,67.0,55.0,0.0,0.0,0.0
2006-05-28,,91.0,71.0,0.0,0.0,0.0
2006-06-04,,83.0,66.0,0.0,0.0,0.0
2006-06-11,,60.0,55.0,0.0,0.0,0.0
2006-06-18,,91.0,66.0,0.06,0.0,0.0
2006-06-25,,75.0,60.0,0.16,0.0,0.0
2006-07-02,,85.0,72.0,0.01,0.0,0.0
2006-07-09,,93.0,64.0,0.0,0.0,0.0
2006-07-16,,96.0,73.0,0.0,0.0,0.0
2006-07-23,,90.0,65.0,0.0,0.0,0.0
2006-07-30,,97.0,77.0,0.0,0.0,0.0
2006-08-06,,92.0,75.0,0.0,0.0,0.0
2006-08-13,,84.0,68.0,0.88,0.0,0.0
2006-08-20,,80.0,60.0,0.0,0.0,0.0
2006-08-27,,77.0,65.0,0.11,0.0,0.0
2006-09-03,,74.0,57.0,0.72,0.0,0.0
2006-09-10,,65.0,61.0,1.61,0.0,0.0
2006-09-17,,80.0,50.0,0.46,0.0,0.0
2006-09-24,,69.0,51.0,0.0,0.0,0.0
2006-10-01,,86.0,53.0,0.0,0.0,0.0
